2021-04-28 21:13:53,992 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2021-04-28 21:13:54,008 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2021-04-28 21:13:54,009 INFO  Logger.cs: 73 - Commit version 1.6.0-1-g15f4949
2021-04-28 21:13:54,009 INFO  Logger.cs: 74 - Build version 1.6.7594.29634
2021-04-28 21:13:54,011 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2021-04-28 21:13:54,012 INFO  SwAddin.cs: 197 - Setting up callbacks
2021-04-28 21:13:54,012 INFO  SwAddin.cs: 201 - Setting up command manager
2021-04-28 21:13:54,013 INFO  SwAddin.cs: 204 - Adding command manager
2021-04-28 21:13:54,014 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2021-04-28 21:13:54,015 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2021-04-28 21:13:54,015 INFO  SwAddin.cs: 210 - Adding event handlers
2021-04-28 21:13:54,017 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2021-04-28 21:14:33,484 INFO  SwAddin.cs: 294 - Assembly export called for file URDF ROBOT.SLDASM
2021-04-28 21:14:37,608 INFO  SwAddin.cs: 313 - Saving assembly
2021-04-28 21:14:37,758 INFO  SwAddin.cs: 316 - Opening property manager
2021-04-28 21:14:37,768 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from URDF ROBOT.SLDASM
2021-04-28 21:14:37,772 INFO  ExportHelperExtension.cs: 1136 - Found 35 in URDF ROBOT.SLDASM
2021-04-28 21:14:37,773 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in URDF ROBOT.SLDASM
2021-04-28 21:14:37,773 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-04-28 21:14:37,774 INFO  ExportHelperExtension.cs: 1160 - 4 components to check
2021-04-28 21:14:37,775 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from SECOND LINK ALONE-1
